Province,District,Year,Mean_Nightlight,Valid_Pixels
An Giang,An Phú,2012,0.078916,1079
An Giang,An Phú,2013,0.097686,1079
An Giang,An Phú,2014,0.145299,1079
An Giang,An Phú,2015,0.159727,1079
An Giang,An Phú,2016,0.143351,1079
An Giang,An Phú,2017,0.242056,1079
An Giang,An Phú,2018,0.352783,1079
An Giang,An Phú,2019,0.431673,1079
An Giang,An Phú,2020,0.660479,1079
An Giang,Châu Phú,2012,0.106138,2150
An Giang,Châu Phú,2013,0.133124,2150
An Giang,Châu Phú,2014,0.193463,2150
An Giang,Châu Phú,2015,0.212631,2150
An Giang,Châu Phú,2016,0.196782,2150
An Giang,Châu Phú,2017,0.242787,2150
An Giang,Châu Phú,2018,0.255487,2150
An Giang,Châu Phú,2019,0.34606,2150
An Giang,Châu Phú,2020,0.417996,2150
An Giang,Châu Thành,2012,0.126676,1687
An Giang,Châu Thành,2013,0.137894,1687
An Giang,Châu Thành,2014,0.178271,1687
An Giang,Châu Thành,2015,0.211642,1687
An Giang,Châu Thành,2016,0.218389,1687
An Giang,Châu Thành,2017,0.313234,1687
An Giang,Châu Thành,2018,0.358264,1687
An Giang,Châu Thành,2019,0.390049,1687
An Giang,Châu Thành,2020,0.512378,1687
An Giang,Châu Đốc,2012,1.212482,490
An Giang,Châu Đốc,2013,1.230298,490
An Giang,Châu Đốc,2014,1.541873,490
An Giang,Châu Đốc,2015,1.714562,490
An Giang,Châu Đốc,2016,1.742777,490
An Giang,Châu Đốc,2017,2.070981,490
An Giang,Châu Đốc,2018,2.149261,490
An Giang,Châu Đốc,2019,2.252887,490
An Giang,Châu Đốc,2020,1.935871,490
An Giang,Chợ Mới,2012,0.215922,1748
An Giang,Chợ Mới,2013,0.304638,1748
An Giang,Chợ Mới,2014,0.474124,1748
An Giang,Chợ Mới,2015,0.570395,1748
An Giang,Chợ Mới,2016,0.515341,1748
An Giang,Chợ Mới,2017,0.678478,1748
An Giang,Chợ Mới,2018,0.705847,1748
An Giang,Chợ Mới,2019,0.831055,1748
An Giang,Chợ Mới,2020,0.981059,1748
An Giang,Long Xuyên,2012,2.021452,547
An Giang,Long Xuyên,2013,2.144154,547
An Giang,Long Xuyên,2014,2.506901,547
An Giang,Long Xuyên,2015,2.716167,547
An Giang,Long Xuyên,2016,2.838866,547
An Giang,Long Xuyên,2017,3.13878,547
An Giang,Long Xuyên,2018,3.517816,547
An Giang,Long Xuyên,2019,3.785422,547
An Giang,Long Xuyên,2020,3.512652,547
An Giang,Phú Tân,2012,0.08797,1481
An Giang,Phú Tân,2013,0.129445,1481
An Giang,Phú Tân,2014,0.170789,1481
An Giang,Phú Tân,2015,0.254386,1481
An Giang,Phú Tân,2016,0.243278,1481
An Giang,Phú Tân,2017,0.331997,1481
An Giang,Phú Tân,2018,0.371413,1481
An Giang,Phú Tân,2019,0.448772,1481
An Giang,Phú Tân,2020,0.530859,1481
An Giang,Thoại Sơn,2012,0.048927,2228
An Giang,Thoại Sơn,2013,0.05244,2228
An Giang,Thoại Sơn,2014,0.080725,2228
An Giang,Thoại Sơn,2015,0.09355,2228
An Giang,Thoại Sơn,2016,0.096149,2228
An Giang,Thoại Sơn,2017,0.138666,2228
An Giang,Thoại Sơn,2018,0.200781,2228
An Giang,Thoại Sơn,2019,0.221025,2228
An Giang,Thoại Sơn,2020,0.293874,2228
An Giang,Tri Tôn,2012,0.022663,2847
An Giang,Tri Tôn,2013,0.048287,2847
An Giang,Tri Tôn,2014,0.071445,2847
An Giang,Tri Tôn,2015,0.087682,2847
An Giang,Tri Tôn,2016,0.089719,2847
An Giang,Tri Tôn,2017,0.155077,2847
An Giang,Tri Tôn,2018,0.152898,2847
An Giang,Tri Tôn,2019,0.19345,2847
An Giang,Tri Tôn,2020,0.285163,2847
An Giang,Tân Châu,2012,0.093148,817
An Giang,Tân Châu,2013,0.142971,817
An Giang,Tân Châu,2014,0.231876,817
An Giang,Tân Châu,2015,0.234534,817
An Giang,Tân Châu,2016,0.21936,817
