Province,District,2012,2013,2014,2015,2016,2017,2018,2019,2020
An Giang,An Phú,0.078916,0.097686,0.145299,0.159727,0.143351,0.242056,0.352783,0.431673,0.660479
An Giang,Châu Phú,0.106138,0.133124,0.193463,0.212631,0.196782,0.242787,0.255487,0.34606,0.417996
An Giang,Châu Thành,0.126676,0.137894,0.178271,0.211642,0.218389,0.313234,0.358264,0.390049,0.512378
An Giang,Châu Đốc,1.212482,1.230298,1.541873,1.714562,1.742777,2.070981,2.149261,2.252887,1.935871
An Giang,Chợ Mới,0.215922,0.304638,0.474124,0.570395,0.515341,0.678478,0.705847,0.831055,0.981059
An Giang,Long Xuyên,2.021452,2.144154,2.506901,2.716167,2.838866,3.13878,3.517816,3.785422,3.512652
An Giang,Phú Tân,0.08797,0.129445,0.170789,0.254386,0.243278,0.331997,0.371413,0.448772,0.530859
An Giang,Thoại Sơn,0.048927,0.05244,0.080725,0.09355,0.096149,0.138666,0.200781,0.221025,0.293874
An Giang,Tri Tôn,0.022663,0.048287,0.071445,0.087682,0.089719,0.155077,0.152898,0.19345,0.285163
An Giang,Tân Châu,0.093148,0.142971,0.231876,0.234534,0.21936,0.323139,0.345165,0.536108,0.683572
An Giang,Tịnh Biên,0.080421,0.077295,0.10623,0.119035,0.127295,0.240051,0.300718,0.343324,0.455397
Bà Rịa - Vũng Tàu,Bà Rịa,6.176377,6.064614,6.697638,7.043546,7.125816,7.950008,5.631805,5.528107,6.46666
Bà Rịa - Vũng Tàu,Châu Đức,0.182427,0.24154,0.338466,0.428724,0.667741,0.916121,1.003633,1.085994,1.31383
Bà Rịa - Vũng Tàu,Long Điền,4.940435,4.595866,4.845777,5.381021,5.02271,5.094971,4.2109,4.651307,4.735766
Bà Rịa - Vũng Tàu,Tân Thành,4.900466,5.531457,5.539505,6.131159,6.591191,7.2363,7.401572,7.490856,8.504927
Bà Rịa - Vũng Tàu,Vũng Tàu,7.598511,6.88603,7.872781,8.224646,8.142576,8.860955,8.864159,8.619577,7.829503
Bà Rịa - Vũng Tàu,Xuyên Mộc,0.655904,0.714213,0.752342,1.030815,0.987799,1.56195,1.969234,2.409836,2.566155
Bà Rịa - Vũng Tàu,Đất Đỏ,0.685374,0.796955,0.926917,1.056932,1.156852,1.285459,1.328839,1.346725,1.595961
Bình Dương,Bàu Bàng,0.55503,0.656339,0.641106,0.708076,0.782597,1.240946,1.73356,2.09246,2.542087
Bình Dương,Bắc Tân Uyên,0.352164,0.433285,0.492733,0.606239,0.715212,0.977323,1.132884,1.319143,1.573426
Bình Dương,Bến Cát,3.373042,3.849067,4.399277,4.764451,4.907763,5.589879,6.010464,6.453845,6.974586
Bình Dương,Dĩ An,13.83244,12.608239,13.370338,14.254882,15.428526,15.89635,17.701099,18.927721,19.597687
Bình Dương,Dầu Tiếng,0.105342,0.129021,0.200144,0.232929,0.309408,0.412016,0.487968,0.54707,0.731666
Bình Dương,Phú Giáo,0.345314,0.420024,0.448494,0.526282,0.553013,0.730433,0.809626,0.880834,1.065232
Bình Dương,Thuận An,12.825597,12.326502,13.249801,13.807933,14.704749,15.458494,16.336564,17.476225,18.047509
Bình Dương,Thủ Dầu Một,10.265757,9.644756,11.350563,11.533078,12.31008,13.537738,14.612066,15.589979,17.07674
Bình Dương,Tân Uyên,3.270937,3.379181,3.95332,4.70341,5.687863,6.327914,7.092821,7.78659,8.662967
Bình Phước,Bình Long,0.62361,0.731355,0.69083,0.763033,0.758164,0.897413,0.984109,1.071694,1.249595
Bình Phước,Bù Gia Mập,0.013376,0.030833,0.035614,0.045571,0.044746,0.065756,0.079307,0.080787,0.100492
Bình Phước,Bù Đăng,0.035228,0.045615,0.033938,0.050081,0.049969,0.08629,0.096761,0.096751,0.134546
Bình Phước,Bù Đốp,0.051405,0.060647,0.038823,0.074375,0.074261,0.176838,0.302921,0.346992,0.436593
Bình Phước,Chơn Thành,0.306151,0.351448,0.34256,0.443357,0.49758,0.688095,0.877937,0.995073,1.262926
Bình Phước,Hớn Quản,0.037832,0.069708,0.070606,0.091398,0.097227,0.139766,0.194033,0.238786,0.304054
Bình Phước,Lộc Ninh,0.105672,0.140246,0.120713,0.14975,0.141222,0.182779,0.220833,0.237643,0.319244
Bình Phước,Phú Riềng,0.035677,0.048935,0.041432,0.05372,0.058056,0.09642,0.112524,0.12733,0.184169
Bình Phước,Phước Long,0.587635,0.706675,0.676891,0.778808,0.770314,1.080357,1.243372,1.490255,1.537193
Bình Phước,Đồng Phú,0.037244,0.054307,0.0599,0.085106,0.100553,0.147188,0.17666,0.213113,0.292467
Bình Phước,Đồng Xoài,0.914591,1.248375,1.390257,1.482805,1.65874,2.004196,2.143409,2.471436,2.814877
Bình Thuận,Bắc Bình,1.143293,3.373059,3.541171,5.118408,5.468711,6.675939,9.154764,9.929161,5.810372
Bình Thuận,Hàm Thuận Bắc,25.359855,31.012793,31.078912,38.36344,32.909394,35.169809,45.881199,45.05749,19.894837
Bình Thuận,Hàm Thuận Nam,66.850762,76.185787,75.649455,92.243559,76.802807,83.809981,123.10075,119.716417,81.186402
Bình Thuận,Hàm Tân,1.004646,1.345949,1.616285,2.663716,2.321868,4.749153,8.311677,8.163051,6.484692
Bình Thuận,La Gi,7.981263,14.850345,18.302603,26.185053,19.506686,28.368366,56.135605,49.863156,49.684918
