Province,Year,Mean_Nightlight,Valid_Pixels
AnGiang,2012,0.186112,16760
AnGiang,2013,0.216281,16760
AnGiang,2014,0.288387,16760
AnGiang,2015,0.330658,16760
AnGiang,2016,0.326886,16760
AnGiang,2017,0.426101,16760
AnGiang,2018,0.475557,16760
AnGiang,2019,0.550753,16760
AnGiang,2020,0.63542,16760
BàRịa-VũngTàu,2012,2.267837,9066
BàRịa-VũngTàu,2013,2.351859,9066
BàRịa-VũngTàu,2014,2.512504,9066
BàRịa-VũngTàu,2015,2.812394,9066
BàRịa-VũngTàu,2016,2.925101,9066
BàRịa-VũngTàu,2017,3.399863,9066
BàRịa-VũngTàu,2018,3.44351,9066
BàRịa-VũngTàu,2019,3.621214,9066
BàRịa-VũngTàu,2020,3.918383,9066
BìnhDương,2012,1.899025,12835
BìnhDương,2013,1.924597,12835
BìnhDương,2014,2.165893,12835
BìnhDương,2015,2.345677,12835
BìnhDương,2016,2.567166,12835
BìnhDương,2017,2.919822,12835
BìnhDương,2018,3.246157,12835
BìnhDương,2019,3.542348,12835
BìnhDương,2020,3.929137,12835
BìnhPhước,2012,0.099649,32796
BìnhPhước,2013,0.131033,32796
BìnhPhước,2014,0.127444,32796
BìnhPhước,2015,0.155705,32796
BìnhPhước,2016,0.16472,32796
BìnhPhước,2017,0.228238,32796
BìnhPhước,2018,0.273667,32796
BìnhPhước,2019,0.309824,32796
BìnhPhước,2020,0.386365,32796
BìnhThuận,2012,14.20676,37877
BìnhThuận,2013,17.255104,37877
BìnhThuận,2014,17.269174,37877
BìnhThuận,2015,21.488045,37877
BìnhThuận,2016,18.35224,37877
BìnhThuận,2017,20.618952,37877
BìnhThuận,2018,29.483677,37877
BìnhThuận,2019,29.012861,37877
BìnhThuận,2020,18.248634,37877
BìnhĐịnh,2012,0.096003,29253
BìnhĐịnh,2013,0.12964,29253
BìnhĐịnh,2014,0.165242,29253
BìnhĐịnh,2015,0.222214,29253
BìnhĐịnh,2016,0.208907,29253
BìnhĐịnh,2017,0.274195,29253
BìnhĐịnh,2018,0.35276,29253
BìnhĐịnh,2019,0.405287,29253
BìnhĐịnh,2020,0.502274,29253
BạcLiêu,2012,0.186188,11754
BạcLiêu,2013,0.212286,11754
BạcLiêu,2014,0.350891,11754
BạcLiêu,2015,0.366734,11754
BạcLiêu,2016,0.344183,11754
BạcLiêu,2017,0.478807,11754
BạcLiêu,2018,0.571403,11754
BạcLiêu,2019,0.620357,11754
BạcLiêu,2020,0.644351,11754
BắcGiang,2012,0.118653,19530
BắcGiang,2013,0.131946,19530
BắcGiang,2014,0.191083,19530
BắcGiang,2015,0.234505,19530
BắcGiang,2016,0.27903,19530
BắcGiang,2017,0.3317,19530
BắcGiang,2018,0.361801,19530
BắcGiang,2019,0.468849,19530
BắcGiang,2020,0.534521,19530
BắcKạn,2012,0.011008,24540
BắcKạn,2013,0.014021,24540
BắcKạn,2014,0.017044,24540
BắcKạn,2015,0.022195,24540
BắcKạn,2016,0.028186,24540
BắcKạn,2017,0.024436,24540
BắcKạn,2018,0.019509,24540
BắcKạn,2019,0.022736,24540
BắcKạn,2020,0.019974,24540
BắcNinh,2012,1.420404,4102
BắcNinh,2013,1.743961,4102
BắcNinh,2014,2.2005,4102
BắcNinh,2015,2.41425,4102
BắcNinh,2016,2.91724,4102
BắcNinh,2017,3.431272,4102
BắcNinh,2018,3.686033,4102
BắcNinh,2019,4.067782,4102
BắcNinh,2020,4.176499,4102
BếnTre,2012,0.243502,11115
BếnTre,2013,0.27619,11115
BếnTre,2014,0.459666,11115
BếnTre,2015,0.497087,11115
BếnTre,2016,0.503887,11115
BếnTre,2017,0.747876,11115
BếnTre,2018,0.968318,11115
BếnTre,2019,1.10268,11115
BếnTre,2020,1.170334,11115
CaoBằng,2012,0.005197,33919
CaoBằng,2013,0.010425,33919
CaoBằng,2014,0.010551,33919
CaoBằng,2015,0.010014,33919
CaoBằng,2016,0.013515,33919
CaoBằng,2017,0.016967,33919
CaoBằng,2018,0.017165,33919
CaoBằng,2019,0.024736,33919
CaoBằng,2020,0.023142,33919
CàMau,2012,0.111872,24468
CàMau,2013,0.142472,24468
CàMau,2014,0.225992,24468
CàMau,2015,0.216245,24468
CàMau,2016,0.195886,24468
CàMau,2017,0.271651,24468
CàMau,2018,0.31093,24468
CàMau,2019,0.312339,24468
CàMau,2020,0.346687,24468
CầnThơ,2012,0.73887,6844
CầnThơ,2013,0.881269,6844
CầnThơ,2014,0.987844,6844
CầnThơ,2015,1.118714,6844
CầnThơ,2016,1.203079,6844
CầnThơ,2017,1.335587,6844
CầnThơ,2018,1.56952,6844
CầnThơ,2019,1.670425,6844
CầnThơ,2020,1.860127,6844
GiaLai,2012,0.071313,74706
GiaLai,2013,0.080756,74706
GiaLai,2014,0.081718,74706
GiaLai,2015,0.095338,74706
GiaLai,2016,0.089286,74706
GiaLai,2017,0.111958,74706
GiaLai,2018,0.135572,74706
GiaLai,2019,0.130448,74706
